image,item_name,price,rank1
"https://images-na.ssl-images-amazon.com/images/I/71NJMfKBPRL._AC_UL200_SR200,200_.jpg","
            SUPERDANNY USB Surge Protector Power Strip Mountable 5ft Extension Cord Multiple Protection 5 Outlet 3 USB Port with Hook & Loop Fastener for iPhone iPad PC Home Office Travel Black
        ,
            ,
            ,
        ,   ",$16.99,#44
"https://images-na.ssl-images-amazon.com/images/I/61HbTS0f-VL._AC_UL200_SR200,200_.jpg","
            Power Strip, POWERIVER Surge Protector with 12 Outlets and 5 USB Ports, Heavy Duty 6 Feet Extension Cord(1875W/15A), Multiplug for Multiple Devices Smartphone Tablet Laptop Computer, ETL Listed -Black
        ,
            ,
            ,
        ,   ",$22.97,#45
"https://images-na.ssl-images-amazon.com/images/I/810o-i5jpiL._AC_UL200_SR200,200_.jpg","
            SanDisk 128GB MicroSDXC UHS-I Memory Card for Nintendo Switch - SDSQXAO-128G-GNCZN
        ,
            ,
            ,
        ,   ",$27.99,#46
"https://images-na.ssl-images-amazon.com/images/I/61z9pQWzqBL._AC_UL200_SR200,200_.jpg","
            Power Strip with USB, Anker PowerPort Cube with 3 Outlets and 3 USB Ports, Portable, 5 ft Extension Cord, Overload Protection for iPhone Xs/XR, Compact for Travel, Cruise Ship and Office
        ,
            ,
            ,
        ,   ",$19.99,#47
"https://images-na.ssl-images-amazon.com/images/I/61b4qFTXRML._AC_UL200_SR200,200_.jpg","
            Echo (3rd Gen)- Smart speaker with Alexa- Charcoal
        ,
            ,
            ,
        , ","$99.99,$109.98",#48
"https://images-na.ssl-images-amazon.com/images/I/71m%2BhUvYRoL._AC_UL200_SR200,200_.jpg","
            GE 6 Outlet Surge Protector, 10 Ft Extension Cord, Power Strip, 800 Joules, Flat Plug, Twist-to-Close Safety Covers, White, 14092
        ,
            ,
            ,
        ,   ",$13.86,#49
"https://images-na.ssl-images-amazon.com/images/I/61d5F64UDpL._AC_UL200_SR200,200_.jpg","
            JBL FLIP 4 - Waterproof Portable Bluetooth Speaker - Black
        ,
            ,
            ,
        ,   ",$79.90,#50
"https://images-na.ssl-images-amazon.com/images/I/61FA9BbugzL._AC_UL200_SR200,200_.jpg","
            NETGEAR Nighthawk Smart WiFi Router (R6700) - AC1750 Wireless Speed (up to 1750 Mbps) | Up to 1500 sq ft Coverage & 25 Devices | 4 x 1G Ethernet and 1 x 3.0 USB ports | Armor Security
        ,
            ,
            ,
        ,   ",$86.13,#51
"https://images-na.ssl-images-amazon.com/images/I/516XDONz0QL._AC_UL200_SR200,200_.jpg","
            Power Strip with USB, TESSAN Mountable Flat Plug Extension Cord with 4 Widely Spaced Outlets, 3 USB Charger, 5 FT Power Cord, Compact Size Charging Station for Home, Office, Dorm Essentials, Gray
        ,
            ,
            ,
        ,   ",$18.99,#52
"https://images-na.ssl-images-amazon.com/images/I/713qhtEOq5L._AC_UL200_SR200,200_.jpg","
            Ring Stick Up Cam Battery HD security camera with two-way talk, Works with Alexa - Black
        ,
            ,
            ,
        , ","$99.99,$297.98",#53
"https://images-na.ssl-images-amazon.com/images/I/71v6fiYWE5L._AC_UL200_SR200,200_.jpg","
            All-new Ring Video Doorbell 3 – enhanced wifi, improved motion detection, easy installation
        ,
            ,
            ,
        , ","$199.99,$299.98",#54
"https://images-na.ssl-images-amazon.com/images/I/61dAEHDkgcL._AC_UL200_SR200,200_.jpg","
            Cord Cover Raceway Kit, 157"" Cable Cover Channel, Paintable Cord Concealer System Cable Hider, Cord Wires, Hiding Wall Mount TV Powers Cords in Home Office, 10X L15.7in X W0.95in X 0.55in
        ,
            ,
            ,
        ,   ",$17.99,#55
"https://images-na.ssl-images-amazon.com/images/I/71lprXHznaL._AC_UL200_SR200,200_.jpg","
            FosPower Emergency Solar Hand Crank Portable Radio, NOAA Weather Radio for Household and Outdoor Emergency with AM/FM, LED Flashlight, Reading Lamp, 2000mAh Power Bank USB Charger and SOS Alarm
        ,
            ,
            ,
        ,   ",$39.99,#56
"https://images-na.ssl-images-amazon.com/images/I/71Jb8odRgtL._AC_UL200_SR200,200_.jpg","
            USB Wall Charger, Surge Protector, POWRUI 6-Outlet Extender with 2 USB Charging Ports (2.4A Total) and Night Light, 3-Sided Power Strip with Adapter Spaced Outlets - White，ETL Listed
        ,
            ,
            ,
        ,   ",$19.97,#57
"https://images-na.ssl-images-amazon.com/images/I/71igbmDJwDL._AC_UL200_SR200,200_.jpg","
            Sabrent 4-Port USB 2.0 Hub with Individual LED lit Power Switches (HB-UMLS)
        ,
            ,
            ,
        ,   ",$7.99,#58
"https://images-na.ssl-images-amazon.com/images/I/71tN5cFBvFL._AC_UL200_SR200,200_.jpg","
            TCL 50S425 50 inch 4K Smart LED Roku TV (2019)
        ,
            ,
            ,
        ,   ",$269.99,#59
